# trees_n,samples_min,depth_max Batch,opt_f1_score
6.000000000000000000e+00,4.000000000000000000e+01,1.500000000000000000e+01,6.833443054641210601e-01
6.000000000000000000e+00,4.000000000000000000e+01,2.000000000000000000e+01,6.833443054641210601e-01
6.000000000000000000e+00,4.000000000000000000e+01,2.500000000000000000e+01,6.833443054641210601e-01
7.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.372579801151229795e-01
7.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,7.728310502283104455e-01
7.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,7.433846153846154214e-01
7.000000000000000000e+00,1.000000000000000000e+01,1.500000000000000000e+01,7.270440251572327650e-01
7.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,7.275015733165511866e-01
7.000000000000000000e+00,1.000000000000000000e+01,2.500000000000000000e+01,7.275015733165511866e-01
7.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,8.390804597701149170e-01
7.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000000e+00,7.640320733104238871e-01
7.000000000000000000e+00,2.000000000000000000e+01,1.000000000000000000e+01,7.583333333333334147e-01
7.000000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+01,7.350427350427350959e-01
7.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+01,7.354917532070861519e-01
7.000000000000000000e+00,2.000000000000000000e+01,2.500000000000000000e+01,7.354917532070861519e-01
7.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00,8.390804597701149170e-01
7.000000000000000000e+00,3.000000000000000000e+01,5.000000000000000000e+00,7.620150550086857155e-01
7.000000000000000000e+00,3.000000000000000000e+01,1.000000000000000000e+01,7.723342939481268044e-01
7.000000000000000000e+00,3.000000000000000000e+01,1.500000000000000000e+01,7.497048406139316112e-01
7.000000000000000000e+00,3.000000000000000000e+01,2.000000000000000000e+01,7.497048406139316112e-01
7.000000000000000000e+00,3.000000000000000000e+01,2.500000000000000000e+01,7.497048406139316112e-01
7.000000000000000000e+00,4.000000000000000000e+01,0.000000000000000000e+00,8.390804597701149170e-01
7.000000000000000000e+00,4.000000000000000000e+01,5.000000000000000000e+00,7.629459148446489092e-01
7.000000000000000000e+00,4.000000000000000000e+01,1.000000000000000000e+01,7.838150289017340455e-01
7.000000000000000000e+00,4.000000000000000000e+01,1.500000000000000000e+01,7.595983461311281992e-01
7.000000000000000000e+00,4.000000000000000000e+01,2.000000000000000000e+01,7.595983461311281992e-01
7.000000000000000000e+00,4.000000000000000000e+01,2.500000000000000000e+01,7.595983461311281992e-01
