element_count
Mn:2 Sc:4 Se:8
Ge:1 Ni:2 Zn:1
La:6 Ru:8 Sn:26
Ga:1 Pd:2 Sc:1
Ag:2 I:2
As:4 Co:2
Cu:4 Ni:1 Yb:1
Pt:10 Se:8
Cr:4 La:4 S:12
La:8 N:4 S:6
Cs:3 In:9
Re:4 S:4 Te:4
Cu:4 Sb:4 Se:8
Ag:1 Zr:2
Nb:2 P:2
Ca:1 S:1
Ca:4 Ge:4 Ni:6
Cu:1 Hf:1 Hg:2
Ga:4 Ho:2 Pd:2
Ca:2 Ga:4
Cd:2 Er:4 Ge:4
S:6 Zn:6
Ge:8
Ho:12 Ru:4
Si:2 Th:1
Pb:3 Yb:1
Bi:2 Er:6 Mn:1
F:9 Y:3
Li:2 Se:1
As:8 Ga:8
Ir:8 Zr:16
As:2 Ba:2 Cu:2
Ag:2 Dy:2 Sn:2
Ce:1 Tl:3
C:1 Sn:1
Er:1 Hg:2
Cu:36 Ga:16
Ga:3 Ni:5
As:1 Rh:2
Cr:3 N:1 Pt:1
La:3 Sn:7
Cr:2 N:6 Sr:6
Cu:2 Nb:8 Si:2
Sc:4 Te:4
Pd:1 Zr:2
Mo:2 P:4
Bi:2 Ho:6 Rh:1
Rh:1 Y:1
Co:4 Er:4 Ga:4
C:3 N:4
O:4
Al:2 Cu:2 O:4
B:28
Au:2 Ta:6
Al:3 La:1 Pd:2
C:1 In:1 La:3
Al:4 Se:8 Sr:2
Ge:6 Rh:10
C:1 Er:1 Rh:3
Ga:4 La:4 Pt:4
Rh:4 Sb:12
Co:8 Ge:26 Lu:6
Nb:2 Pt:2
F:12 Na:4 Zn:4
Ca:8 H:4 N:4
Mn:2 Te:2
Dy:2 S:4
Ba:1 O:3 Pu:1
Ir:4 Zr:12
Au:2 Nb:1
Ni:3 P:3 W:3
Ir:4 Si:4 Ta:4
B:8 Fe:4
La:1 S:1
Br:1 K:3 O:1
Ga:2 P:2
Au:4 In:8 Na:12
Al:1 Pt:3
Li:3 Sb:1
Ba:2 Be:4 N:4
Ba:1 Fe:1 O:3
Cl:16 Hg:12 O:4
Sb:1 Tl:1
Dy:2 Pd:2 Sb:2
Cd:2 Cu:2 F:8
Au:2 O:4 Sc:2
Pb:4 Sr:8
Ag:1 In:5 Te:8
Mn:2 Si:2 Y:1
Al:40 V:4
F:3 Na:1 V:1
La:4 Sb:2
P:1 Sn:1
C:1 Ce:1
B:1 In:1 Sc:3
Pt:1 Sb:1 Tb:1
B:1 C:7
Fe:4 Si:4 Ta:4
Hf:3 Rh:3 Sn:3
B:4 Nb:6
O:3 Re:1
Er:3 Pd:3 Sn:3
Hf:2 Si:4
C:4 Os:8 Zr:16
Ag:2 In:1 Y:1
P:4
Ge:4 Ir:4 Mn:12
B:2 Mg:16 Rh:8
Hf:4 P:4
N:4 Ni:8 Ta:16
