compound,spacegroup,grueneisen_parameter,bulk_modulus,poisson_ratio,heat_capacity,thermal_conductivity,thermal_expansion,material_type,debye_temperature
N8Si6,227,1.97986,279.152,0.173133,20.6309,33.5641,1.65E-05,Non-Metal,1223.86
Cu3Nb1S4,215,2.09342,72.1668,0.239122,22.6601,5.6388,5.05E-05,Non-Metal,408.939
Nb4P4Zr4,62,1.99621,167.15,0.259355,32.2835,10.0366,2.51E-05,Metal,481.067
Ba2Li2Sb2,194,1.97163,27.0127,0.191145,18.4618,2.73232,8.99E-05,Non-Metal,229.936
Cu12N4Pd1,123,2.32643,109.711,0.36564,50.5348,1.14098,6.33E-05,Metal,318.119
Cl6Cs2Zr1,225,2.10089,26.4982,0.252935,27.7379,1.52754,9.09E-05,Non-Metal,240.921
Ge2V6,223,1.97793,166.44,0.370128,22.6826,4.65089,3.25E-05,Metal,375.051
K4O12Sb4,227,2.5024,106.69,0.236166,54.1402,3.13029,5.53E-05,Non-Metal,522.796
Al8C8Si2,186,1.87184,147.654,0.313407,43.0266,6.37861,3.46E-05,Metal,684.953
As12Ir4,204,2.29812,121.143,0.232038,45.7219,4.27943,3.69E-05,Metal,372.114
Ag1Al1S2,156,2.09697,70.7537,0.302537,11.6929,5.04353,6.04E-05,Non-Metal,347.002
Gd1N1,225,1.9537,141.242,0.208668,5.49996,31.8232,3.27E-05,Metal,445.087
B48,134,1.62187,202.285,0.263963,75.7397,10.1441,2.17E-05,Metal,1158.1
Ru2Te4,58,2.40144,93.8552,0.234622,17.5951,5.55201,4.25E-05,Non-Metal,316.032
S4Se4U4,62,1.91549,92.1171,0.313612,35.4713,2.97792,3.63E-05,Metal,256.94
Er1Rh2Si2,139,2.13446,156.684,0.26373,13.9376,11.9535,3.16E-05,Metal,418.062
Er1S1,225,2.05184,94.6004,0.307193,5.90053,9.23629,4.22E-05,Metal,281.959
Cd3Zr1,123,2.3193,66.8222,0.338843,12.2509,2.11184,6.42E-05,Metal,213.018
Er1Os2Si2,139,2.04895,185.125,0.293065,14.2253,11.5538,2.56E-05,Metal,356.964
P8Si4,205,2.20566,105.948,0.216006,29.8233,7.77965,4.33E-05,Metal,641.021
As2C2Nb4,194,2.00241,205.847,0.256924,20.9038,16.0713,2.35E-05,Metal,533.895
Ho1Ni1Sb1,216,2.11928,85.354,0.239453,8.84146,8.97175,4.63E-05,Non-Metal,297.018
Ir2N4,58,2.24926,317.729,0.241418,14.9977,21.3003,2.56E-05,Metal,613.859
N1Ru1,216,2.15577,239.373,0.383556,5.58811,12.1175,2.86E-05,Metal,408.097
Er4O14Ru4,227,2.12263,186.614,0.295739,59.5573,4.33276,3.41E-05,Non-Metal,482.938
N2S1Th2,164,1.96809,127.93,0.297792,14.3896,9.21037,2.81E-05,Non-Metal,328.016
Cd4Co4Ho16,216,1.83306,55.6917,0.297297,72.6651,1.11991,5.38E-05,Metal,196.057
Au6K2Sn6,59,2.56651,42.0784,0.36641,44.7002,0.297897,9.52E-05,Metal,141.046
Bi2Rb6,194,1.95947,6.85413,0.269596,27.1865,0.300378,0.000220488,Metal,101.032
C1Ni1,225,2.13346,237.223,0.379263,5.39396,12.2368,3.91E-05,Metal,496.981
Ba2Tl4,194,2.38033,21.4367,0.23166,19.492,0.870755,0.000125947,Metal,139.949
N1Zr1,221,2.02478,215.276,0.35268,5.46656,17.6224,2.98E-05,Metal,456.017
Hf1Os1,221,1.9514,216.708,0.267932,5.71421,29.9254,2.02E-05,Metal,333.965
Mg2O6Si2,63,2.01408,215.632,0.268522,20.478,15.2027,3.02E-05,Non-Metal,883.298
Al4La2,227,1.90394,62.6168,0.225488,17.3245,6.99499,5.11E-05,Metal,354.935
Re1Si2,139,2.15505,211.327,0.26843,8.10281,22.0265,2.78E-05,Metal,480.045
Mn1Rh1Sb1,216,2.20658,94.7913,0.362561,8.99271,3.62165,4.67E-05,Metal,243.963
Dy2Pd2Sb2,186,2.22377,85.6887,0.297622,17.9678,3.38744,4.59E-05,Metal,247.005
Rh3Sc1,221,2.21391,169.768,0.302713,11.3213,10.1346,3.23E-05,Metal,384.886
Co4Nb4P4,62,2.95465,168.658,0.263597,32.826,3.86745,4.87E-05,Metal,506.208
B8Ho4Os4,62,1.92726,210.89,0.244384,43.4944,9.31086,2.71E-05,Metal,461.98
Cu1Pd1,221,2.57211,123.271,0.364614,6.04199,3.88647,6.04E-05,Metal,273.941
